Sample	CoveredSite	MSIsensor
TCGA-CN-4742	2858	0.00
TCGA-CN-5355	1911	0.37
TCGA-CN-5356	2177	4.18
TCGA-CN-5360	2148	3.35
TCGA-CN-5361	2029	0.79
TCGA-CN-5363	2762	0.14
TCGA-CN-5364	2586	1.01
TCGA-CN-5366	2724	0.00
TCGA-CN-5367	1572	1.72
TCGA-CN-5369	1801	0.17
TCGA-CN-5373	1920	0.52
TCGA-CN-6013	1450	0.14
TCGA-CN-6017	1418	0.14
TCGA-CN-6018	2527	0.04
TCGA-CN-6019	2392	0.08
TCGA-CN-6996	2630	1.56
TCGA-CN-6998	2262	7.60
TCGA-CQ-5325	1699	0.00
TCGA-CQ-5327	1552	0.00
TCGA-CQ-5329	1532	0.07
TCGA-CQ-5330	2102	0.00
TCGA-CQ-6219	2603	0.00
TCGA-CQ-6220	1261	18.95
TCGA-CQ-6221	3467	0.20
TCGA-CQ-6223	2791	0.97
TCGA-CQ-6224	3165	1.36
TCGA-CQ-6225	3438	4.07
TCGA-CQ-6229	2041	0.69
TCGA-CQ-7065	1847	3.68
TCGA-CQ-7068	1646	1.76
TCGA-CS-4938	906	0.11
TCGA-CS-4941	2237	1.52
TCGA-CS-4944	2163	0.00
TCGA-CS-5396	1673	0.30
TCGA-CS-6186	1708	0.00
TCGA-CS-6290	2271	0.79
TCGA-CU-A0YN	2061	2.96
TCGA-CU-A0YO	2155	0.42
TCGA-CU-A0YR	2028	0.74
TCGA-CU-A3KJ	1468	0.27
TCGA-CU-A3QU	1699	1.71
TCGA-CU-A3YL	1610	1.24
TCGA-CV-5431	4305	0.51
TCGA-CV-5439	2865	0.10
TCGA-CV-5966	2181	0.00
TCGA-CV-5970	4079	0.34
TCGA-CV-5971	4643	0.00
TCGA-CV-5973	2534	0.67
TCGA-CV-5976	2887	0.00
TCGA-CV-5977	3067	0.00
TCGA-CV-6003	3325	0.03
TCGA-CV-6933	3231	1.33
TCGA-CV-6938	1970	4.57
TCGA-CV-6939	2954	1.08
TCGA-CV-6945	2270	1.85
TCGA-CV-6948	2189	3.79
TCGA-CV-6951	2196	1.09
TCGA-CV-6952	2930	0.00
TCGA-CV-6954	3080	0.71
TCGA-CV-6959	2835	0.07
TCGA-CV-6960	2531	0.36
TCGA-CV-7091	3368	0.71
TCGA-CV-7095	2346	6.56
TCGA-CV-7178	2193	0.05
TCGA-CV-7183	792	0.00
TCGA-CV-7238	2079	3.61
TCGA-CV-7247	1823	2.96
TCGA-CV-7263	3632	0.00
TCGA-CV-7407	1971	0.00
TCGA-CV-7411	2479	4.28
TCGA-CV-7414	2280	1.36
TCGA-CV-7428	3597	1.06
TCGA-CV-7429	2242	0.22
TCGA-CV-7432	1713	6.01
TCGA-CV-7434	1527	2.36
TCGA-CX-7085	1289	2.40
TCGA-D1-A168	1558	0.96
TCGA-D1-A169	1949	0.00
TCGA-D1-A16B	1613	9.18
TCGA-D1-A16D	1490	0.00
TCGA-D1-A16E	3475	0.00
TCGA-D1-A16N	1823	1.26
TCGA-D1-A16Q	1416	0.56
TCGA-D1-A16R	2274	0.18
TCGA-D1-A16X	1504	1.53
TCGA-D1-A174	1787	3.25
TCGA-D1-A177	2524	1.27
TCGA-D1-A17B	2135	3.28
TCGA-D1-A17C	2179	0.00
TCGA-D1-A17D	1803	0.72
TCGA-D1-A17K	2007	1.44
TCGA-D1-A17N	1513	3.44
TCGA-D1-A17Q	2192	1.87
TCGA-D1-A17R	2384	0.63
TCGA-D1-A17U	2298	1.04
TCGA-D1-A1O0	2322	10.64
TCGA-D1-A2G0	1728	2.14
TCGA-D1-A2G6	1448	0.00
TCGA-D3-A1Q7	2405	0.21
TCGA-D3-A1Q8	1593	0.00
TCGA-D3-A1Q9	1520	0.13
TCGA-D3-A1QB	1491	0.07
TCGA-D3-A2J6	1195	3.51
TCGA-D3-A2JC	1686	1.07
TCGA-D3-A2JD	1919	0.52
TCGA-D3-A2JP	1561	0.51
TCGA-D3-A3C3	1865	0.00
TCGA-D3-A3C8	2227	0.00
TCGA-D3-A3CC	1307	0.08
TCGA-D3-A3CE	1613	0.00
TCGA-D6-6515	2193	0.00
TCGA-D6-6517	2907	14.00
TCGA-D6-6823	1833	2.89
TCGA-D6-6825	1403	1.71
TCGA-D6-6826	1439	0.56
TCGA-D6-6827	1507	2.59
TCGA-D7-5577	3908	0.33
TCGA-D7-5578	2385	1.01
TCGA-D7-5579	1901	3.37
TCGA-D7-6518	2257	0.49
TCGA-D7-6519	2738	1.17
TCGA-D7-6520	2332	1.93
TCGA-D7-6521	2547	1.53
TCGA-D7-6522	2956	1.35
TCGA-D7-6524	2643	0.49
TCGA-D7-6525	3220	1.96
TCGA-D7-6526	2572	3.81
TCGA-D7-6527	2534	2.29
TCGA-D7-6528	2136	0.70
TCGA-D7-6815	2151	0.79
TCGA-D7-6817	1924	0.05
TCGA-D7-6818	7215	0.00
TCGA-D7-6820	1639	0.31
TCGA-D7-6822	10881	0.01
TCGA-D9-A148	1541	3.57
TCGA-D9-A1JW	1186	0.00
TCGA-D9-A1JX	1214	1.15
TCGA-D9-A1X3	1006	5.17
TCGA-DA-A1HW	1734	1.10
TCGA-DA-A1HY	1461	0.00
TCGA-DA-A1I2	2198	0.68
TCGA-DA-A1I5	1989	0.00
TCGA-DA-A1I7	1852	0.00
TCGA-DA-A1I8	1492	0.40
TCGA-DA-A1IC	1743	2.07
TCGA-DB-5273	1854	0.00
TCGA-DB-5276	2667	0.00
TCGA-DB-5279	1654	0.00
TCGA-DB-5280	1326	0.00
TCGA-DE-A0Y2	1611	0.00
TCGA-DE-A0Y3	1420	0.00
TCGA-DH-5143	3189	0.00
TCGA-DI-A1BU	1894	5.49
TCGA-DJ-A13L	3393	0.03
TCGA-DJ-A13M	1489	0.00
TCGA-DJ-A13O	1782	0.00
TCGA-DJ-A13P	1447	0.00
TCGA-DJ-A13R	2611	0.11
TCGA-DJ-A13S	2131	0.14
TCGA-DJ-A13T	1398	0.21
TCGA-DJ-A13U	1551	0.00
TCGA-DJ-A13V	1534	0.46
TCGA-DJ-A13W	1993	0.00
TCGA-DJ-A13X	1631	0.00
TCGA-DJ-A1QD	2350	0.00
TCGA-DJ-A1QE	2351	0.00
TCGA-DJ-A1QF	1128	0.00
TCGA-DJ-A1QG	1559	0.00
TCGA-DJ-A1QH	1286	0.08
TCGA-DJ-A1QI	2097	0.19
TCGA-DJ-A1QL	2267	0.00
TCGA-DJ-A1QM	1165	0.26
TCGA-DJ-A1QN	1439	0.00
TCGA-DJ-A1QO	1029	0.00
TCGA-DJ-A1QQ	1569	0.19
TCGA-DK-A1A3	2684	0.00
TCGA-DK-A1A5	2394	0.38
TCGA-DK-A1A6	1630	3.56
TCGA-DK-A1A7	1631	4.72
TCGA-DK-A1AA	1826	7.45
TCGA-DK-A1AB	1811	4.09
TCGA-DK-A1AC	2325	0.13
TCGA-DK-A1AD	1925	5.82
TCGA-DK-A1AE	3974	4.18
TCGA-DK-A1AG	1851	4.43
TCGA-DK-A2HX	3326	0.00
TCGA-DK-A2I1	1395	9.32
TCGA-DK-A2I2	1455	5.50
TCGA-DK-A2I6	3118	6.51
TCGA-DK-A3IK	1549	0.06
TCGA-DK-A3IL	1949	0.00
TCGA-DK-A3IM	1857	0.11
TCGA-DK-A3IN	7150	4.01
TCGA-DK-A3IQ	2634	0.04
TCGA-DK-A3IT	3582	2.71
TCGA-DK-A3IU	2582	0.19
TCGA-DK-A3IV	1253	0.00
TCGA-DK-A3WX	1562	0.51
TCGA-DK-A3WY	1535	0.00
TCGA-DK-A3X1	1571	1.78
TCGA-DK-A3X2	1584	2.40
TCGA-DO-A1JZ	2086	0.00
TCGA-DO-A1K0	2194	0.00
TCGA-DQ-5624	1737	0.52
TCGA-DQ-5625	1882	0.16
TCGA-DQ-5630	2907	0.31
TCGA-DQ-5631	2820	0.60
TCGA-DU-5847	2128	0.05
TCGA-DU-5849	1556	8.16
TCGA-DU-5852	1899	4.27
TCGA-DU-5854	1999	0.00
TCGA-DU-5872	1764	1.76
TCGA-DU-6392	1617	0.49
TCGA-DU-6399	1999	0.00
TCGA-DU-6402	2009	0.00
TCGA-DU-6403	1805	0.00
TCGA-DU-6405	1913	0.00
TCGA-DU-6408	1777	0.23
TCGA-DU-7006	1614	0.00
TCGA-DU-7007	1583	0.00
TCGA-DU-7008	1680	0.00
TCGA-DU-7010	1646	0.61
TCGA-DU-7018	1567	0.06
TCGA-DU-7290	1469	0.34
TCGA-DU-7292	1790	0.00
TCGA-DU-7294	1884	0.00
TCGA-E1-5303	2177	0.00
TCGA-E1-5305	926	0.00
TCGA-E1-5307	883	0.00
TCGA-E5-A2PC	3707	2.67
TCGA-E7-A3X6	1861	0.00
TCGA-E7-A3Y1	1634	0.00
TCGA-E8-A242	3640	0.00
TCGA-EA-A1QS	1970	0.00
TCGA-EA-A3HQ	1471	1.09
TCGA-EA-A3HR	1678	0.30
TCGA-EA-A3HS	1489	0.34
TCGA-EA-A3HT	1966	0.00
TCGA-EA-A3HU	1547	0.00
TCGA-EA-A3QD	2128	0.05
TCGA-EA-A3QE	1891	0.00
TCGA-EA-A3Y4	1899	0.05
TCGA-EB-A24C	1711	0.12
TCGA-EB-A24D	1737	0.92
TCGA-EB-A299	1789	0.06
TCGA-EE-A17X	2363	0.00
TCGA-EE-A20H	3601	0.50
TCGA-EE-A29B	1396	3.37
TCGA-EE-A29C	1950	0.10
TCGA-EE-A29D	1792	3.85
TCGA-EE-A29E	1632	2.51
TCGA-EE-A29H	1315	1.75
TCGA-EE-A29N	1303	0.92
TCGA-EE-A29P	1272	0.00
TCGA-EE-A29Q	1315	0.00
TCGA-EE-A29R	1379	2.83
TCGA-EE-A29S	1439	0.00
TCGA-EE-A29T	2170	0.00
TCGA-EE-A29V	2206	0.63
TCGA-EE-A2A1	2132	0.42
TCGA-EE-A2A6	2225	1.26
TCGA-EE-A2GB	1277	4.70
TCGA-EE-A2GC	2059	3.79
TCGA-EE-A2GP	2021	0.05
TCGA-EE-A2GR	2240	1.43
TCGA-EE-A2GS	1734	0.69
TCGA-EE-A2GT	1718	0.17
TCGA-EE-A2M5	1894	0.00
TCGA-EE-A2M6	1751	0.69
TCGA-EE-A2M7	1867	0.64
TCGA-EE-A2MC	2049	0.00
TCGA-EE-A2MD	1639	0.73
TCGA-EE-A2ME	1704	0.18
TCGA-EE-A2MG	1863	0.59
TCGA-EE-A2MH	1605	3.24
TCGA-EE-A2MI	1878	3.41
TCGA-EE-A2MJ	1742	0.00
TCGA-EE-A2ML	1871	0.75
TCGA-EE-A2MN	1572	0.38
TCGA-EE-A2MP	2784	0.11
TCGA-EE-A2MQ	964	0.10
TCGA-EE-A2MS	1119	1.61
TCGA-EJ-5494	2078	5.77
TCGA-EJ-5495	2566	1.33
TCGA-EJ-5496	2472	3.36
TCGA-EJ-5497	1999	5.85
TCGA-EJ-5498	2630	0.04
TCGA-EJ-5499	1738	7.02
TCGA-EJ-5501	2220	1.44
TCGA-EJ-5502	1880	1.76
TCGA-EJ-5503	2110	2.89
TCGA-EJ-5504	2038	0.25
TCGA-EJ-5505	1807	2.82
TCGA-EJ-5506	1957	0.00
TCGA-EJ-5507	2141	5.56
TCGA-EJ-5508	1654	5.86
TCGA-EJ-5509	2139	2.24
TCGA-EJ-5510	1751	4.85
TCGA-EJ-5511	2414	0.79
TCGA-EJ-5512	2533	3.55
TCGA-EJ-5514	3653	0.96
TCGA-EJ-5515	2261	3.63
TCGA-EJ-5516	2227	5.61
TCGA-EJ-5517	2468	0.00
TCGA-EJ-5518	2959	4.06
