Sample	CoveredSite	MSIsensorScore
TCGA-B5-A0JN-01A-11D-A10B-09	759076	0.49
TCGA-B5-A0JN	759076	0.49
TCGA-B5-A0K3-01A-11D-A325-09	864079	0.11
TCGA-B5-A0K8-01A-11D-A14K-09	816962	0.05
TCGA-B5-A11G-01A-13D-A122-09	916419	14.20
TCGA-B5-A11H-01A-11D-A122-09	813274	15.99
TCGA-B5-A1MY-01A-11D-A142-09	812097	0.17
TCGA-B6-A0I2-01A-11D-A12L-09	883167	0.05
TCGA-B6-A0I6-01A-11D-A128-09	1150834	1.78
TCGA-B6-A0IJ-01A-11D-A128-09	1119453	0.21
TCGA-B6-A0IQ-01A-11D-A128-09	819086	0.15
TCGA-B6-A0RE-01A-11D-A128-09	746025	0.16
TCGA-B6-A0RE	746025	0.16
TCGA-B6-A0RT-01A-21D-A128-09	1105551	0.04
TCGA-B6-A0RU-01A-11D-A12L-09	685597	0.03
TCGA-B6-A0X5-01A-21D-A314-09	914343	0.02
TCGA-B9-4113-01A-01D-1253-10	825042	0.00
TCGA-B9-4114-01A-01D-1253-10	977888	0.01
TCGA-B9-4115-01A-01D-1554-10	920753	0.01
TCGA-B9-4116-01A-02D-1402-10	964367	0.03
TCGA-B9-4117-01A-02D-1402-10	958326	0.05
TCGA-B9-4617-01A-01D-1253-10	917583	0.01
TCGA-BA-4076-01A-01D-2266-10	652965	0.66
TCGA-BA-4076	652965	0.66
TCGA-BA-4077-01B-01D-2268-08	837568	0.12
TCGA-BA-4077	837568	0.12
TCGA-BA-5149-01A-01D-A32X-10	971352	0.04
TCGA-BA-5149	971352	0.04
TCGA-BA-5153-01A-01D-2268-08	615266	0.01
TCGA-BA-5153	615266	0.01
TCGA-BA-5556-01A-01D-A32X-10	810239	0.15
TCGA-BA-6869-01A-11D-A32X-10	967798	0.26
TCGA-BA-6872-01A-11D-A32X-10	979421	0.10
TCGA-BA-6873-01A-11D-2266-10	931083	0.01
